name,position,team_x
Marc Guéhi,DEF,Man City
Josh Cullen,MID,Burnley
Erling Haaland,FWD,Man City
Djed Spence,DEF,Spurs
Julian Eyestone,GK,Brentford
Ármin Pécsi,GK,Liverpool
Anton Stach,MID,Leeds
Jefferson Lerma Solís,MID,Crystal Palace
Jordan Beyer,DEF,Burnley
Jayden Danns,FWD,Liverpool
Rio Ngumoha,MID,Liverpool
Brandon Austin,GK,Spurs
Zain Silcott-Duberry,MID,Bournemouth
Sepp van den Berg,DEF,Brentford
Dominic Calvert-Lewin,FWD,Leeds
Aaron Wan-Bissaka,DEF,West Ham
Enzo Le Fée,MID,Sunderland
David Ozoh,MID,Crystal Palace
Mark Gillespie,GK,Newcastle
Ben Casey,FWD,Crystal Palace
Ethan Ampadu,MID,Leeds
Lino da Cruz Sousa,DEF,Aston Villa
Nicolò Savona,DEF,Nott'm Forest
Harrison Reed,MID,Fulham
Vitalii Mykolenko,DEF,Everton
Matt Targett,DEF,Newcastle
Frank Onyeka,MID,Brentford
Tijjani Reijnders,MID,Man City
Igor Julio dos Santos de Paulo,DEF,Brighton
Gabriel Słonina,GK,Chelsea
Manuel Akanji,DEF,Man City
Bryan Mbeumo,MID,Man Utd
Reece Welch,DEF,Everton
Tyler Dibling,MID,Everton
Lewis Cook,MID,Bournemouth
Tyler Adams,MID,Bournemouth
Jamaal Lascelles,DEF,Newcastle
Andrés García,DEF,Aston Villa
Youri Tielemans,MID,Aston Villa
Will Lankshear,FWD,Spurs
Iwan Morgan,FWD,Brentford
Victor Lindelöf,DEF,Aston Villa
Pierre Ekwah Elimby,MID,Sunderland
Crysencio Summerville,MID,West Ham
Kian McMahon-Brown,MID,Burnley
Philip Billing,MID,Bournemouth
Cristhian Mosquera,DEF,Arsenal
Ethan Nwaneri,MID,Arsenal
Bryan Gil Salvatierra,MID,Spurs
Callum Olusesi,MID,Spurs
Elyh Harrison,GK,Man Utd
Ellery Balcombe,GK,Brentford
Gustavo Nunes Fernandes Gomes,MID,Brentford
Boubacar Traoré,MID,Wolves
Luka Vušković,DEF,Spurs
Mateus Gonçalo Espanha Fernandes,MID,West Ham
Kenny Tete,DEF,Fulham
Landon Emenalo,MID,Chelsea
Dilane Bakwa,MID,Nott'm Forest
Matt O'Riley,MID,Brighton
Senne Lammens,GK,Man Utd
Dean Benamar,DEF,Crystal Palace
Carl Rushworth,GK,Brighton
Walter Benítez,GK,Crystal Palace
John Ruddy,GK,Newcastle
Ibrahim Sangaré,MID,Nott'm Forest
Zak Johnson,DEF,Sunderland
Brennan Johnson,MID,Crystal Palace
Dominic Sadi,MID,Bournemouth
Ian Poveda-Ocampo,MID,Sunderland
Rayan Aït-Nouri,DEF,Man City
Carlos Baleba,MID,Brighton
James Wright,GK,Aston Villa
Jamie Bynoe-Gittens,MID,Chelsea
Dejan Kulusevski,MID,Spurs
Wilfried Gnonto,MID,Leeds
Lisandro Martínez,DEF,Man Utd
El Hadji Malick Diouf,DEF,West Ham
Leon Chiwome,FWD,Wolves
João Victor Gomes da Silva,MID,Wolves
Jaydon Banel,MID,Burnley
Kjell Scherpen,GK,Brighton
Levi Samuels Colwill,DEF,Chelsea
Shea Lacey,MID,Man Utd
Harvey Elliott,MID,Aston Villa
Olivier Boscagli,DEF,Brighton
Takai Kōta,DEF,Spurs
Jeremie Frimpong,DEF,Liverpool
Nehemiah Oriola,MID,Brighton
Joe Rodon,DEF,Leeds
Jenson Seelt,DEF,Sunderland
Marshall Munetsi,MID,Wolves
Mateus Mané,FWD,Wolves
Rhys Williams,DEF,Liverpool
Luis Eduardo Soares da Silva,DEF,Nott'm Forest
Josh Laurent,MID,Burnley
Diego León Blanco,DEF,Man Utd
Romaine Mundle,MID,Sunderland
Will Dennis,GK,Bournemouth
Harry Howell,MID,Brighton
Callum Wilson,FWD,West Ham
Ronnie Hollingshead,GK,Aston Villa
Vitaly Janelt,MID,Brentford
Douglas Luiz Soares de Paulo,MID,Aston Villa
Marcus Tavernier,MID,Bournemouth
Virgil van Dijk,DEF,Liverpool
Son Heung-min,MID,Spurs
Axel Disasi,DEF,West Ham
Luca Netz,DEF,Nott'm Forest
Antoñito Cordero Campillo,MID,Newcastle
Callum Marshall,FWD,West Ham
Garang Kuol,MID,Newcastle
Fábio Ferreira Vieira,MID,Arsenal
Jean-Philippe Mateta,FWD,Crystal Palace
Gabriel Fernando de Jesus,FWD,Arsenal
Maximilian Kilman,DEF,West Ham
Tawanda Chirewa,MID,Wolves
Elijah Campbell,DEF,Everton
Christantus Uche,FWD,Crystal Palace
Rayan Vitor Simplício Rocha,MID,Bournemouth
Harry Maguire,DEF,Man Utd
Hjalmar Ekdal,DEF,Burnley
Mason Mount,MID,Man Utd
Paris Maghoma,MID,Brentford
Jair Paula da Cunha Filho,DEF,Nott'm Forest
Freddie Potts,MID,West Ham
Joško Gvardiol,DEF,Man City
Matthijs de Ligt,DEF,Man Utd
Matheus França de Oliveira,MID,Crystal Palace
Nick Woltemade,FWD,Newcastle
Airidas Golambeckis,DEF,West Ham
Lucas Bergvall,MID,Spurs
Mikel Merino Zazón,MID,Arsenal
Braiden Graham,FWD,Everton
Odsonne Édouard,FWD,Crystal Palace
Joe Knight,MID,Brighton
Zépiqueno Redmond,FWD,Aston Villa
Matheus Santos Carneiro da Cunha,MID,Man Utd
Max Merrick,GK,Chelsea
Chemsdine Talbi,MID,Sunderland
Zach Abbott,DEF,Nott'm Forest
Mykhailo Mudryk,MID,Chelsea
Emile Smith Rowe,MID,Fulham
Yves Bissouma,MID,Spurs
Zian Flemming,FWD,Burnley
Alfie Pond,DEF,Wolves
Fraser Forster,GK,Bournemouth
Daniel Ballard,DEF,Sunderland
Tim Iroegbunam,MID,Everton
Lucas Digne,DEF,Aston Villa
Mads Hermansen,GK,West Ham
Viktor Gyökeres,FWD,Arsenal
Emiliano Buendía Stati,MID,Aston Villa
Benjamin Lecomte,GK,Fulham
Ismeal Kabia,MID,Arsenal
Isaac Hayden,MID,Newcastle
Adrian Mazilu,MID,Brighton
Jurriën Timber,DEF,Arsenal
Kyle Walker,DEF,Burnley
Cole Palmer,MID,Chelsea
Maxence Lacroix,DEF,Crystal Palace
Robert Lynch Sánchez,GK,Chelsea
Benjamin Fredrick,DEF,Brentford
Brajan Gruda,MID,Brighton
James Trafford,GK,Man City
Ben Gannon-Doak,MID,Bournemouth
Max Alleyne,DEF,Man City
Saša Kalajdžić,FWD,Wolves
Mitoma Kaoru,MID,Brighton
Michael Keane,DEF,Everton
Jenson Jones,DEF,Sunderland
Jean-Clair Todibo,DEF,West Ham
Joelinton Cássio Apolinário de Lira,MID,Newcastle
Mohamadou Kanté,MID,West Ham
Francisco Evanilson de Lima Barbosa,FWD,Bournemouth
Nordi Mukiele,DEF,Sunderland
Kevin Danso,DEF,Spurs
Adam Aznou,DEF,Everton
Ben Davies,DEF,Spurs
Trai Hume,DEF,Sunderland
Tom Cairney,MID,Fulham
Calvin Bassey,DEF,Fulham
Alfie McNally,GK,Fulham
Matai Akinmboni,DEF,Bournemouth
Yehor Yarmoliuk,MID,Brentford
Norberto Bercique Gomes Betuncal,FWD,Everton
Christian Nørgaard,MID,Arsenal
Dan Ndoye,MID,Nott'm Forest
Soungoutou Magassa,MID,West Ham
Bradley Burrowes,MID,Aston Villa
Martin Sherif,FWD,Everton
Martin Ødegaard,MID,Arsenal
Malick Yalcouyé,MID,Brighton
Charalampos Kostoulas,FWD,Brighton
Romain Esse,MID,Crystal Palace
João Victor de Souza Menezes,DEF,Spurs
Mark Travers,GK,Everton
Altay Bayındır,GK,Man Utd
Largie Ramazani,MID,Leeds
Malcom DaCosta,MID,Bournemouth
Pedro Lomba Neto,MID,Chelsea
Rodrigo Martins Gomes,DEF,Wolves
Yerson Mosquera Valdelamar,DEF,Wolves
Iliman Ndiaye,MID,Everton
Tyler Fletcher,MID,Man Utd
Florentino Ibrain Morris Luís,MID,Burnley
Nicolas Jackson,FWD,Chelsea
Morgan Rogers,MID,Aston Villa
Reiss Nelson,MID,Brentford
Dan Burn,DEF,Newcastle
Andreas Hoelgebaum Pereira,MID,Fulham
Lewis Miley,MID,Newcastle
Ahmed Abdullahi,FWD,Sunderland
James McConnell,MID,Liverpool
Tom McGill,GK,Brighton
Brayden Clarke,DEF,Arsenal
Joe Worrall,DEF,Burnley
Owen Dodgson,DEF,Burnley
Enzo Fernández,MID,Chelsea
Julio Enciso Espínola,MID,Brighton
Emil Krafth,DEF,Newcastle
Boubacar Kamara,MID,Aston Villa
Hugo Ekitiké,FWD,Liverpool
Amara Nallo,DEF,Liverpool
Andrew Robertson,DEF,Liverpool
Seung-Soo Park,MID,Newcastle
Randal Kolo Muani,FWD,Spurs
Jason Steele,GK,Brighton
Joe Gauci,GK,Aston Villa
Callum Hudson-Odoi,MID,Nott'm Forest
Trevoh Chalobah,DEF,Chelsea
Jun'ai Byfield,DEF,Spurs
Guido Rodríguez,MID,West Ham
Kepa Arrizabalaga Revuelta,GK,Arsenal
James Justin,DEF,Leeds
Daniel Adu-Adjei,FWD,Bournemouth
Youssef Ramalho Chermiti,FWD,Everton
Yang Min-hyeok,MID,Spurs
Ibrahima Konaté,DEF,Liverpool
Lyle Foster,FWD,Burnley
Rob Holding,DEF,Crystal Palace
Valentín Castellanos,FWD,West Ham
Manor Solomon,MID,Spurs
Tommy Setford,GK,Arsenal
Marcus Edwards,MID,Burnley
Manuel Benson Hedilazio,MID,Burnley
Kalvin Phillips,MID,Man City
Remy Rees-Dottin,MID,Bournemouth
John Victor Maciel Furtado,GK,Nott'm Forest
Tyrick Mitchell,DEF,Crystal Palace
Matheus Nunes,DEF,Man City
Sam Proctor,GK,Aston Villa
Harrison Jones,MID,Sunderland
Alex Iwobi,MID,Fulham
Timothy Castagne,DEF,Fulham
Bernd Leno,GK,Fulham
Claudio Echeverri,MID,Man City
Giovanni Leoni,DEF,Liverpool
Owen Bevan,DEF,Bournemouth
Angus Gunn,GK,Nott'm Forest
Cody Gakpo,MID,Liverpool
George Earthy,MID,West Ham
Benjamin Arthur,DEF,Brentford
Adam Wharton,MID,Crystal Palace
Tyler Fredricson,DEF,Man Utd
Ross Barkley,MID,Aston Villa
James Wilson,FWD,Spurs
Darko Churlinov,MID,Burnley
Sam Byram,DEF,Leeds
Chris Richards,DEF,Crystal Palace
Jacob Murphy,MID,Newcastle
Filip Jörgensen,GK,Chelsea
Rodrigo 'Rodri' Hernandez Cascante,MID,Man City
Ryan Gravenberch,MID,Liverpool
Naouirou Ahamada,MID,Crystal Palace
Danny Imray,DEF,Crystal Palace
Andrey Nascimento dos Santos,MID,Chelsea
Melker Ellborg,GK,Sunderland
Jake O'Brien,DEF,Everton
Gabriel Martinelli Silva,MID,Arsenal
Omar Marmoush,MID,Man City
Patrick Bamford,FWD,Leeds
Ezra Mayers,DEF,West Ham
Ederson Santana de Moraes,GK,Man City
Jay Matete,MID,Sunderland
James Milner,MID,Brighton
João Pedro Ferreira da Silva,MID,Nott'm Forest
Darwin Núñez Ribeiro,FWD,Liverpool
Nazarii Rusyn,FWD,Sunderland
Blondy Nna Noukeu,GK,Sunderland
Andre Harriman-Annous,MID,Arsenal
Stefan Bajčetić Maquieira,MID,Liverpool
Eddie Nketiah,FWD,Crystal Palace
Sean Longstaff,MID,Leeds
Jenson Metcalfe,MID,Everton
Nathaniel Clyne,DEF,Crystal Palace
Pascal Struijk,DEF,Leeds
Morgan Gibbs-White,MID,Nott'm Forest
Joe Gelhardt,MID,Leeds
Mohamed Salah,MID,Liverpool
Calvin Ramsay,DEF,Liverpool
Benjamin Sesko,FWD,Man Utd
João Pedro Junqueira de Jesus,FWD,Chelsea
Isaac Schmidt,DEF,Leeds
Franco Umeh-Chibueze,MID,Crystal Palace
Lutsharel Geertruida,DEF,Sunderland
James Hill,DEF,Bournemouth
Bukayo Saka,MID,Arsenal
Santiago Ignacio Bueno,DEF,Wolves
Alex Tóth,MID,Bournemouth
Nicolás Domínguez,MID,Nott'm Forest
Remi Matthews,GK,Crystal Palace
Illan Meslier,GK,Leeds
Martin Dúbravka,GK,Burnley
Yasin Özcan,DEF,Aston Villa
Connor Roberts,DEF,Burnley
Temple Ojinnaka,MID,Wolves
Murillo Costa dos Santos,DEF,Nott'm Forest
Ferdi Kadıoğlu,DEF,Brighton
Aji Alese,DEF,Sunderland
Harry Gray,FWD,Leeds
Kaden Rodney,MID,Crystal Palace
Odysseas Vlachodimos,GK,Newcastle
Yunus Emre Konak,MID,Brentford
Kyle Walker-Peters,DEF,West Ham
Gabriel Gudmundsson,DEF,Leeds
Jacob Slater,DEF,Brighton
Joe White,MID,Newcastle
Sam Alabi,MID,Newcastle
Tyrell Malacia,DEF,Man Utd
Ian Maatsen,DEF,Aston Villa
Nathan Aké,DEF,Man City
Enso González Medina,MID,Wolves
Jayden Bogle,DEF,Leeds
James Maddison,MID,Spurs
Pervis Estupiñán Tenorio,DEF,Brighton
Solly March,MID,Brighton
Wes Foderingham,GK,West Ham
Kobbie Mainoo,MID,Man Utd
Ryan Yates,MID,Nott'm Forest
Luka Bentt,MID,Brentford
Kevin Schade,MID,Brentford
David Møller Wolfe,DEF,Wolves
Arthur Masuaku,DEF,Sunderland
Filip Marschall,GK,Aston Villa
Keiber Lamadrid,MID,West Ham
Joe Gomez,DEF,Liverpool
Felipe Rodrigues da Silva,DEF,Nott'm Forest
Mohammed Kudus,MID,Spurs
Richarlison de Andrade,FWD,Spurs
Michael Kayode,DEF,Brentford
Granit Xhaka,MID,Sunderland
Christos Mandas,GK,Bournemouth
Mikkel Damsgaard,MID,Brentford
Albert Sambi Lokonga,MID,Arsenal
Declan Rice,MID,Arsenal
Mathias Jensen,MID,Brentford
Joël Veltman,DEF,Brighton
Joachim Andersen,DEF,Fulham
James Garner,MID,Everton
Stephen Mfuni,DEF,Man City
Joshua Zirkzee,FWD,Man Utd
Jayden Meghoma,DEF,Brentford
Conor Bradley,DEF,Liverpool
Igor Thiago Nascimento Rodrigues,FWD,Brentford
Florian Wirtz,MID,Liverpool
Leandro Trossard,MID,Arsenal
William Saliba,DEF,Arsenal
Harry Amass,DEF,Man Utd
Cheick Doucouré,MID,Crystal Palace
Anthony Elanga,MID,Newcastle
Noni Madueke,MID,Arsenal
Saša Lukić,MID,Fulham
Luke Rawlings,MID,Wolves
Max Dowman,MID,Arsenal
Stefan Ortega Moreno,GK,Nott'm Forest
Rúben dos Santos Gato Alves Dias,DEF,Man City
Chris Mepham,DEF,Bournemouth
Joe Willock,MID,Newcastle
Elliot Anderson,MID,Nott'm Forest
Jack Hinshelwood,MID,Brighton
David Brooks,MID,Bournemouth
Kevin Santos Lopes de Macedo,MID,Fulham
Nikola Milenković,DEF,Nott'm Forest
Julio Soler Barreto,DEF,Bournemouth
Pascal Groß,MID,Brighton
Mamadou Sarr,DEF,Chelsea
Lukas Nmecha,FWD,Leeds
Loum Tchaouna,MID,Burnley
Ollie Watkins,FWD,Aston Villa
James Ward-Prowse,MID,Burnley
Jarrod Bowen,FWD,West Ham
Nico González Iglesias,MID,Man City
Gonçalo Manuel Ganchinho Guedes,MID,Wolves
Alan Browne,MID,Sunderland
Jaka Bijol,DEF,Leeds
Alex Scott,MID,Bournemouth
Lewis O'Brien,MID,Nott'm Forest
Patrick Roberts,MID,Sunderland
Álex Moreno Lopera,DEF,Aston Villa
Eric da Silva Moreira,MID,Nott'm Forest
Leny Yoro,DEF,Man Utd
Shurandy Sambo,DEF,Burnley
Diego Gómez Amarilla,MID,Brighton
Piero Hincapié,DEF,Arsenal
Lucá Williams-Barnett,MID,Spurs
Neco Williams,DEF,Nott'm Forest
David Mota Veiga Teixeira do Carmo,DEF,Nott'm Forest
Harrison Armstrong,MID,Everton
Jackson Tchatchoua,DEF,Wolves
Lucas Pires Silva,DEF,Burnley
Anthony Patterson,GK,Sunderland
Wilson Isidor,FWD,Sunderland
Jack Harrison,MID,Leeds
Kieran Morrison,MID,Liverpool
Dango Ouattara,MID,Brentford
Mathys Tel,MID,Spurs
Charlie Crew,MID,Leeds
Ryan Trevitt,MID,Brentford
Sandro Tonali,MID,Newcastle
Marli Salmon,DEF,Arsenal
Ben Broggio,MID,Aston Villa
Josh Dasilva,MID,Brentford
Matt Doherty,DEF,Wolves
Niclas Füllkrug,FWD,West Ham
Sam Chambers,MID,Leeds
Maldini Kacurri,DEF,Arsenal
Donyell Malen,MID,Aston Villa
Bafodé Diakité,DEF,Bournemouth
Leander Dendoncker,MID,Aston Villa
Robin Roefs,GK,Sunderland
Tymur Tutierov,MID,Sunderland
Lesley Ugochukwu,MID,Burnley
Borna Sosa,DEF,Crystal Palace
Kaelan Casey,DEF,West Ham
Hamed Traorè,MID,Bournemouth
Jack Fletcher,MID,Man Utd
Riccardo Calafiori,DEF,Arsenal
David Raya Martín,GK,Arsenal
Jesurun Rak-Sakyi,MID,Crystal Palace
Nectarios Triantis,MID,Sunderland
Romelle Donovan,MID,Brentford
Maxim De Cuyper,DEF,Brighton
Joël Piroe,FWD,Leeds
Marco Bizot,GK,Aston Villa
Xavi Simons,MID,Spurs
Maxwel Cornet,MID,West Ham
Vitor de Oliveira Nunes dos Reis,DEF,Man City
Sam Johnstone,GK,Wolves
Antonee Robinson,DEF,Fulham
Jørgen Strand Larsen,FWD,Crystal Palace
Estêvão Almeida de Oliveira Gonçalves,MID,Chelsea
Tom Watson,MID,Brighton
Lucas Estella Perri,GK,Leeds
Timothée Pembélé,DEF,Sunderland
Roméo Lavia,MID,Chelsea
Jan Paul van Hecke,DEF,Brighton
Mike Penders,GK,Chelsea
Rio Kyerematen,MID,Spurs
Oleksandr Zinchenko,DEF,Nott'm Forest
Harvey Barnes,MID,Newcastle
Josh Nichols,DEF,Arsenal
Jhon Arias,MID,Wolves
Chido Obi,FWD,Man Utd
Marc Guiu Paz,FWD,Chelsea
Aaron Ramsey,MID,Burnley
John McGinn,MID,Aston Villa
Chadi Riad Dnanou,DEF,Crystal Palace
Pedro Cardoso de Lima,DEF,Wolves
Hannes Delcroix,DEF,Burnley
Phil Foden,MID,Man City
Jonah Kusi-Asare,FWD,Fulham
Tom Heaton,GK,Man Utd
Yéremy Pino Santos,MID,Crystal Palace
Wilson Odobert,MID,Spurs
Omari Hutchinson,MID,Nott'm Forest
Alex Murphy,DEF,Newcastle
Bernardo Mota Veiga de Carvalho e Silva,MID,Man City
Hannibal Mejbri,MID,Burnley
Jacob Bruun Larsen,MID,Burnley
Dennis Cirkin,DEF,Sunderland
Daniel Muñoz Mejía,DEF,Crystal Palace
Bastien Meupiyou Menadjou,DEF,Wolves
Radu Drăgușin,DEF,Spurs
Noah Okafor,MID,Leeds
Dean Henderson,GK,Crystal Palace
Jayce Fitzgerald,MID,Man Utd
Nayef Aguerd,DEF,West Ham
Danny Welbeck,FWD,Brighton
Tom King,GK,Everton
Maxime Estève,DEF,Burnley
Antoine Semenyo,MID,Man City
Rodrigo Muniz Carvalho,FWD,Fulham
Gianluigi Donnarumma,GK,Man City
Sven Botman,DEF,Newcastle
Omar Alderete,DEF,Sunderland
Nico O'Reilly,DEF,Man City
Liam Delap,FWD,Chelsea
Malcolm Ebiowei,MID,Crystal Palace
Jerome Abbey,MID,Wolves
Benjamin White,DEF,Arsenal
Miodrag Pivaš,DEF,Newcastle
Freddie Woodman,GK,Liverpool
Adam Webster,DEF,Brighton
Reece James,DEF,Chelsea
Alex Paulsen,GK,Bournemouth
Chris Wood,FWD,Nott'm Forest
Rayan Cherki,MID,Man City
Emiliano Martínez Romero,GK,Aston Villa
Josh King,MID,Fulham
Lewis Dunk,DEF,Brighton
Willy Boly,DEF,Nott'm Forest
Yusuf Akhamrich,MID,Spurs
William Osula,FWD,Newcastle
Luca Koleosho,MID,Burnley
Omar Richards,DEF,Nott'm Forest
Anthony Gordon,MID,Newcastle
Antoni Milambo,MID,Brentford
Pablo Felipe Pereira de Jesus,FWD,West Ham
Martín Zubimendi Ibáñez,MID,Arsenal
Jaidon Anthony,MID,Burnley
Curtis Jones,MID,Liverpool
Caoimhín Kelleher,GK,Brentford
Bertrand Traoré,MID,Sunderland
Ollie Shield,DEF,Brentford
James McAtee,MID,Nott'm Forest
Guglielmo Vicario,GK,Spurs
Jaydee Canvot,DEF,Crystal Palace
Zach Marsh,FWD,Crystal Palace
Joe Anderson,DEF,Sunderland
Noussair Mazraoui,DEF,Man Utd
Cristian Romero,DEF,Spurs
Václav Hladký,GK,Burnley
Mads Roerslev Rasmussen,DEF,Brentford
Diogo Dalot Teixeira,DEF,Man Utd
Justin Kluivert,MID,Bournemouth
Keane Lewis-Potter,DEF,Brentford
Kristoffer Ajer,DEF,Brentford
Georginio Rutter,MID,Brighton
Hwang Hee-chan,MID,Wolves
Ashley Phillips,DEF,Spurs
Quilindschy Hartman,DEF,Burnley
